"site","year","base_temperature","growing_degrees","units","lat","lon"
"Nelson (Nelson)",2009,"5",2863.8,"degree Celsius",-41.299,173.226
"New Plymouth (Taranaki)",2009,"10",1372.8,"degree Celsius",-39.0079,174.18382
"New Plymouth (Taranaki)",2009,"5",3066,"degree Celsius",-39.0079,174.18382
"Queenstown (Otago)",2009,"10",656.5,"degree Celsius",-45.01758,168.74005
"Queenstown (Otago)",2009,"5",1767.5,"degree Celsius",-45.01758,168.74005
"Reefton (West Coast)",2009,"10",971.5,"degree Celsius",-42.11578,171.86014
"Reefton (West Coast)",2009,"5",2334.6,"degree Celsius",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2009,"10",1191.4,"degree Celsius",-38.10595,176.31485
"Rotorua (Bay of Plenty)",2009,"5",2726.8,"degree Celsius",-38.10595,176.31485
"Tara Hills (Canterbury)",2009,"10",734.3,"degree Celsius",-44.52612,169.88948
"Tara Hills (Canterbury)",2009,"5",1836.3,"degree Celsius",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2009,"10",1159.5,"degree Celsius",-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)",2009,"5",2644.6,"degree Celsius",-38.88784,175.25981
"Taupō (Waikato)",2009,"10",980.1,"degree Celsius",-38.74263,176.08104
"Taupō (Waikato)",2009,"5",2378.8,"degree Celsius",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2009,"10",1929.6000000000001,"degree Celsius",-37.673,176.196
"Tauranga (Bay of Plenty)",2009,"5",3683.9,"degree Celsius",-37.673,176.196
"Timaru (Canterbury)",2009,"10",762.4,"degree Celsius",-44.30517,171.22141
"Timaru (Canterbury)",2009,"5",1979.3,"degree Celsius",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2009,"10",457.9,"degree Celsius",-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)",2009,"5",1475.9,"degree Celsius",-39.46249,175.66283
"Wellington (Wellington)",2009,"10",1081,"degree Celsius",-41.285,174.768
"Wellington (Wellington)",2009,"5",2710.2000000000003,"degree Celsius",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2009,"10",1411.5,"degree Celsius",-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)",2009,"5",3098.7,"degree Celsius",-39.93704,175.04509
"Whangaparāoa (Auckland)",2009,"10",2041.3,"degree Celsius",-36.606,174.835
"Whangaparāoa (Auckland)",2009,"5",3847.7999999999997,"degree Celsius",-36.606,174.835
"Whangārei (Northland)",2009,"10",2163.4,"degree Celsius",-35.769,174.364
"Whangārei (Northland)",2009,"5",3960.4,"degree Celsius",-35.769,174.364
"Auckland (Auckland)",2008,"10",2110.6,"degree Celsius",-37.00813,174.78873
"Auckland (Auckland)",2008,"5",3918.3,"degree Celsius",-37.00813,174.78873
"Blenheim (Marlborough)",2008,"10",1295.5,"degree Celsius",-41.52133,173.86439
"Blenheim (Marlborough)",2008,"5",2804.7,"degree Celsius",-41.52133,173.86439
"Christchurch (Canterbury)",2008,"10",1076.5,"degree Celsius",-43.493,172.537
"Christchurch (Canterbury)",2008,"5",2424.1,"degree Celsius",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2008,"10",987.4,"degree Celsius",-40.21,176.109
"Dannevirke (Manawatū-Whanganui)",2008,"5",2385.6,"degree Celsius",-40.21,176.109
"Dunedin (Otago)",2008,"10",880.1,"degree Celsius",-45.90129,170.5147
"Dunedin (Otago)",2008,"5",2325.8,"degree Celsius",-45.90129,170.5147
"Gisborne (Gisborne)",2008,"10",1762.3,"degree Celsius",-38.6586,177.9851
"Gisborne (Gisborne)",2008,"5",3516.5,"degree Celsius",-38.6586,177.9851
"Gore (Southland)",2008,"10",687.1,"degree Celsius",-46.115,168.887
"Gore (Southland)",2008,"5",1910.8,"degree Celsius",-46.115,168.887
"Hamilton (Waikato)",2008,"10",1640.7,"degree Celsius",-37.86088,175.33175
"Hamilton (Waikato)",2008,"5",3339.7,"degree Celsius",-37.86088,175.33175
"Hokitika (West Coast)",2008,"10",968.6,"degree Celsius",-42.71228,170.98428
"Hokitika (West Coast)",2008,"5",2541.5,"degree Celsius",-42.71228,170.98428
"Invercargill (Southland)",2008,"10",649.9,"degree Celsius",-46.41741,168.33052
"Invercargill (Southland)",2008,"5",1967.5,"degree Celsius",-46.41741,168.33052
"Kerikeri (Northland)",2008,"10",2028.4,"degree Celsius",-35.183,173.926
"Kerikeri (Northland)",2008,"5",3842.5,"degree Celsius",-35.183,173.926
"Lake Tekapo (Canterbury)",2008,"10",704.1999999999999,"degree Celsius",-44.002,170.441
"Lake Tekapo (Canterbury)",2008,"5",1754,"degree Celsius",-44.002,170.441
"Masterton (Wellington)",2008,"10",1227.2,"degree Celsius",-40.957,175.707
"Masterton (Wellington)",2008,"5",2816.8,"degree Celsius",-40.957,175.707
"Milford Sound (Southland)",2008,"10",793.2,"degree Celsius",-44.67384,167.92406
"Milford Sound (Southland)",2008,"5",2177.5,"degree Celsius",-44.67384,167.92406
"Napier (Hawke's Bay)",2008,"10",1816.2,"degree Celsius",-39.49846,176.91189
"Napier (Hawke's Bay)",2008,"5",3571,"degree Celsius",-39.49846,176.91189
"Nelson (Nelson)",2008,"10",1478.2,"degree Celsius",-41.299,173.226
"Nelson (Nelson)",2008,"5",3086.1,"degree Celsius",-41.299,173.226
"New Plymouth (Taranaki)",2008,"10",1613.9,"degree Celsius",-39.0079,174.18382
"New Plymouth (Taranaki)",2008,"5",3370.7,"degree Celsius",-39.0079,174.18382
"Queenstown (Otago)",2008,"10",778.8,"degree Celsius",-45.01758,168.74005
"Queenstown (Otago)",2008,"5",1911.3999999999999,"degree Celsius",-45.01758,168.74005
"Reefton (West Coast)",2008,"10",1067.4,"degree Celsius",-42.11578,171.86014
"Reefton (West Coast)",2008,"5",2419.6,"degree Celsius",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2008,"10",1321.3,"degree Celsius",-38.10595,176.31485
"Rotorua (Bay of Plenty)",2008,"5",2910.2999999999997,"degree Celsius",-38.10595,176.31485
"Tara Hills (Canterbury)",2008,"10",861,"degree Celsius",-44.52612,169.88948
"Tara Hills (Canterbury)",2008,"5",1967.3,"degree Celsius",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2008,"10",1380.5,"degree Celsius",-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)",2008,"5",2929.7999999999997,"degree Celsius",-38.88784,175.25981
"Taupō (Waikato)",2008,"10",1147,"degree Celsius",-38.74263,176.08104
"Taupō (Waikato)",2008,"5",2620.4,"degree Celsius",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2008,"10",2016.9,"degree Celsius",-37.673,176.196
"Tauranga (Bay of Plenty)",2008,"5",3803,"degree Celsius",-37.673,176.196
"Timaru (Canterbury)",2008,"10",904,"degree Celsius",-44.30517,171.22141
"Timaru (Canterbury)",2008,"5",2181.3,"degree Celsius",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2008,"10",612.4,"degree Celsius",-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)",2008,"5",1744.7,"degree Celsius",-39.46249,175.66283
"Wellington (Wellington)",2008,"10",1325,"degree Celsius",-41.285,174.768
"Wellington (Wellington)",2008,"5",3029.9,"degree Celsius",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2008,"10",1707,"degree Celsius",-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)",2008,"5",3473.7,"degree Celsius",-39.93704,175.04509
"Whangaparāoa (Auckland)",2008,"10",2188.7,"degree Celsius",-36.606,174.835
"Whangaparāoa (Auckland)",2008,"5",4008.7999999999997,"degree Celsius",-36.606,174.835
"Whangārei (Northland)",2008,"10",2194.5,"degree Celsius",-35.769,174.364
"Whangārei (Northland)",2008,"5",4011.1,"degree Celsius",-35.769,174.364
"Auckland (Auckland)",2007,"10",2070.3,"degree Celsius",-37.00813,174.78873
"Auckland (Auckland)",2007,"5",3878.4,"degree Celsius",-37.00813,174.78873
"Blenheim (Marlborough)",2007,"10",1337.9,"degree Celsius",-41.52133,173.86439
"Blenheim (Marlborough)",2007,"5",2875.7,"degree Celsius",-41.52133,173.86439
"Christchurch (Canterbury)",2007,"10",1003.1999999999999,"degree Celsius",-43.493,172.537
"Christchurch (Canterbury)",2007,"5",2418.6,"degree Celsius",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2007,"10",1034.2,"degree Celsius",-40.21,176.109
"Dannevirke (Manawatū-Whanganui)",2007,"5",2524.4,"degree Celsius",-40.21,176.109
"Dunedin (Otago)",2007,"10",810.8,"degree Celsius",-45.90129,170.5147
"Dunedin (Otago)",2007,"5",2272.5,"degree Celsius",-45.90129,170.5147
"Gisborne (Gisborne)",2007,"10",1823.5000000000002,"degree Celsius",-38.6586,177.9851
"Gisborne (Gisborne)",2007,"5",3587.2,"degree Celsius",-38.6586,177.9851
"Gore (Southland)",2007,"10",607.8,"degree Celsius",-46.115,168.887
"Gore (Southland)",2007,"5",1920,"degree Celsius",-46.115,168.887
"Hamilton (Waikato)",2007,"10",1537,"degree Celsius",-37.86088,175.33175
"Hamilton (Waikato)",2007,"5",3247.9,"degree Celsius",-37.86088,175.33175
"Hokitika (West Coast)",2007,"10",937.1,"degree Celsius",-42.71228,170.98428
"Hokitika (West Coast)",2007,"5",2493.7,"degree Celsius",-42.71228,170.98428
"Invercargill (Southland)",2007,"10",614.5,"degree Celsius",-46.41741,168.33052
"Invercargill (Southland)",2007,"5",1973.4,"degree Celsius",-46.41741,168.33052
"Kerikeri (Northland)",2007,"10",2015.1999999999998,"degree Celsius",-35.183,173.926
"Kerikeri (Northland)",2007,"5",3832.9,"degree Celsius",-35.183,173.926
"Lake Tekapo (Canterbury)",2007,"10",643.4,"degree Celsius",-44.002,170.441
"Lake Tekapo (Canterbury)",2007,"5",1784.6,"degree Celsius",-44.002,170.441
"Masterton (Wellington)",2007,"10",1127.8,"degree Celsius",-40.957,175.707
"Masterton (Wellington)",2007,"5",2725.3,"degree Celsius",-40.957,175.707
"Milford Sound (Southland)",2007,"10",795.9,"degree Celsius",-44.67384,167.92406
"Milford Sound (Southland)",2007,"5",2178,"degree Celsius",-44.67384,167.92406
"Napier (Hawke's Bay)",2007,"10",1817.8,"degree Celsius",-39.49846,176.91189
"Napier (Hawke's Bay)",2007,"5",3549.4,"degree Celsius",-39.49846,176.91189
"Nelson (Nelson)",2007,"10",1482.8,"degree Celsius",-41.299,173.226
"Nelson (Nelson)",2007,"5",3107.8,"degree Celsius",-41.299,173.226
"New Plymouth (Taranaki)",2007,"10",1511.6,"degree Celsius",-39.0079,174.18382
"New Plymouth (Taranaki)",2007,"5",3252.1,"degree Celsius",-39.0079,174.18382
"Queenstown (Otago)",2007,"10",791.4,"degree Celsius",-45.01758,168.74005
"Queenstown (Otago)",2007,"5",2022.6,"degree Celsius",-45.01758,168.74005
"Reefton (West Coast)",2007,"10",1070.7,"degree Celsius",-42.11578,171.86014
"Reefton (West Coast)",2007,"5",2518.9,"degree Celsius",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2007,"10",1254,"degree Celsius",-38.10595,176.31485
"Rotorua (Bay of Plenty)",2007,"5",2883.3,"degree Celsius",-38.10595,176.31485
"Tara Hills (Canterbury)",2007,"10",846.1999999999999,"degree Celsius",-44.52612,169.88948
"Tara Hills (Canterbury)",2007,"5",2072,"degree Celsius",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2007,"10",1227.8,"degree Celsius",-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)",2007,"5",2798.3,"degree Celsius",-38.88784,175.25981
"Taupō (Waikato)",2007,"10",1033,"degree Celsius",-38.74263,176.08104
"Taupō (Waikato)",2007,"5",2548,"degree Celsius",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2007,"10",1936.6,"degree Celsius",-37.673,176.196
"Tauranga (Bay of Plenty)",2007,"5",3726,"degree Celsius",-37.673,176.196
"Timaru (Canterbury)",2007,"10",784,"degree Celsius",-44.30517,171.22141
"Timaru (Canterbury)",2007,"5",2127.5,"degree Celsius",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2007,"10",482.5,"degree Celsius",-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)",2007,"5",1597.1999999999998,"degree Celsius",-39.46249,175.66283
"Wellington (Wellington)",2007,"10",1115.2,"degree Celsius",-41.285,174.768
"Wellington (Wellington)",2007,"5",2754.4,"degree Celsius",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2007,"10",1577.4,"degree Celsius",-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)",2007,"5",3294.8,"degree Celsius",-39.93704,175.04509
"Whangaparāoa (Auckland)",2007,"10",2204.7,"degree Celsius",-36.606,174.835
"Whangaparāoa (Auckland)",2007,"5",4023.6,"degree Celsius",-36.606,174.835
"Whangārei (Northland)",2007,"10",2189.6,"degree Celsius",-35.769,174.364
"Whangārei (Northland)",2007,"5",4006.2,"degree Celsius",-35.769,174.364
"Auckland (Auckland)",2006,"10",1971.4,"degree Celsius",-37.00813,174.78873
"Auckland (Auckland)",2006,"5",3745.9,"degree Celsius",-37.00813,174.78873
"Blenheim (Marlborough)",2006,"10",1214.3,"degree Celsius",-41.52133,173.86439
"Blenheim (Marlborough)",2006,"5",2735.5,"degree Celsius",-41.52133,173.86439
"Christchurch (Canterbury)",2006,"10",917.3,"degree Celsius",-43.493,172.537
"Christchurch (Canterbury)",2006,"5",2303.3,"degree Celsius",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2006,"10",1093,"degree Celsius",-40.21,176.109
"Dannevirke (Manawatū-Whanganui)",2006,"5",2624.4,"degree Celsius",-40.21,176.109
"Dunedin (Otago)",2006,"10",749.4,"degree Celsius",-45.90129,170.5147
"Dunedin (Otago)",2006,"5",2208,"degree Celsius",-45.90129,170.5147
"Gisborne (Gisborne)",2006,"10",1764,"degree Celsius",-38.6586,177.9851
"Gisborne (Gisborne)",2006,"5",3514,"degree Celsius",-38.6586,177.9851
"Gore (Southland)",2006,"10",456.3,"degree Celsius",-46.115,168.887
"Gore (Southland)",2006,"5",1672.9,"degree Celsius",-46.115,168.887
"Hamilton (Waikato)",2006,"10",1386.7,"degree Celsius",-37.86088,175.33175
"Hamilton (Waikato)",2006,"5",2997,"degree Celsius",-37.86088,175.33175
"Hokitika (West Coast)",2006,"10",749.1,"degree Celsius",-42.71228,170.98428
"Hokitika (West Coast)",2006,"5",2291.5,"degree Celsius",-42.71228,170.98428
"Invercargill (Southland)",2006,"10",490,"degree Celsius",-46.41741,168.33052
"Invercargill (Southland)",2006,"5",1811.6,"degree Celsius",-46.41741,168.33052
"Kerikeri (Northland)",2006,"10",1863.9,"degree Celsius",-35.183,173.926
"Kerikeri (Northland)",2006,"5",3652.4,"degree Celsius",-35.183,173.926
"Lake Tekapo (Canterbury)",2006,"10",463.6,"degree Celsius",-44.002,170.441
"Lake Tekapo (Canterbury)",2006,"5",1454.6,"degree Celsius",-44.002,170.441
"Masterton (Wellington)",2006,"10",1046.3,"degree Celsius",-40.957,175.707
"Masterton (Wellington)",2006,"5",2630.5,"degree Celsius",-40.957,175.707
"Milford Sound (Southland)",2006,"10",626,"degree Celsius",-44.67384,167.92406
"Milford Sound (Southland)",2006,"5",1995,"degree Celsius",-44.67384,167.92406
"Napier (Hawke's Bay)",2006,"10",1853.7,"degree Celsius",-39.49846,176.91189
"Napier (Hawke's Bay)",2006,"5",3586.6,"degree Celsius",-39.49846,176.91189
"Nelson (Nelson)",2006,"10",1334.1000000000001,"degree Celsius",-41.299,173.226
"Nelson (Nelson)",2006,"5",2937.5,"degree Celsius",-41.299,173.226
"New Plymouth (Taranaki)",2006,"10",1372.8,"degree Celsius",-39.0079,174.18382
"New Plymouth (Taranaki)",2006,"5",3084.7,"degree Celsius",-39.0079,174.18382
"Queenstown (Otago)",2006,"10",621.3000000000001,"degree Celsius",-45.01758,168.74005
"Queenstown (Otago)",2006,"5",1805.9,"degree Celsius",-45.01758,168.74005
"Reefton (West Coast)",2006,"10",942.9000000000001,"degree Celsius",-42.11578,171.86014
"Reefton (West Coast)",2006,"5",2365,"degree Celsius",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2006,"10",1182.9,"degree Celsius",-38.10595,176.31485
"Rotorua (Bay of Plenty)",2006,"5",2724.8,"degree Celsius",-38.10595,176.31485
"Tara Hills (Canterbury)",2006,"10",624.6,"degree Celsius",-44.52612,169.88948
"Tara Hills (Canterbury)",2006,"5",1756.8999999999999,"degree Celsius",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2006,"10",1044.8999999999999,"degree Celsius",-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)",2006,"5",2510,"degree Celsius",-38.88784,175.25981
"Taupō (Waikato)",2006,"10",969.1,"degree Celsius",-38.74263,176.08104
"Taupō (Waikato)",2006,"5",2396.2000000000003,"degree Celsius",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2006,"10",1805.5,"degree Celsius",-37.673,176.196
"Tauranga (Bay of Plenty)",2006,"5",3561.5,"degree Celsius",-37.673,176.196
"Timaru (Canterbury)",2006,"10",691.3000000000001,"degree Celsius",-44.30517,171.22141
"Timaru (Canterbury)",2006,"5",1981.7,"degree Celsius",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2006,"10",418.6,"degree Celsius",-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)",2006,"5",1501.6,"degree Celsius",-39.46249,175.66283
"Wellington (Wellington)",2006,"10",1062.1,"degree Celsius",-41.285,174.768
"Wellington (Wellington)",2006,"5",2724.6,"degree Celsius",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2006,"10",1500.6,"degree Celsius",-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)",2006,"5",3223.8,"degree Celsius",-39.93704,175.04509
"Whangaparāoa (Auckland)",2006,"10",2010.1,"degree Celsius",-36.606,174.835
"Whangaparāoa (Auckland)",2006,"5",3817.6,"degree Celsius",-36.606,174.835
"Whangārei (Northland)",2006,"10",2048.9,"degree Celsius",-35.769,174.364
"Whangārei (Northland)",2006,"5",3844.6,"degree Celsius",-35.769,174.364
"Auckland (Auckland)",2005,"10",2217.2,"degree Celsius",-37.00813,174.78873
"Auckland (Auckland)",2005,"5",4031.4,"degree Celsius",-37.00813,174.78873
"Blenheim (Marlborough)",2005,"10",1374.9,"degree Celsius",-41.52133,173.86439
"Blenheim (Marlborough)",2005,"5",2979.9,"degree Celsius",-41.52133,173.86439
"Christchurch (Canterbury)",2005,"10",1086.1,"degree Celsius",-43.493,172.537
"Christchurch (Canterbury)",2005,"5",2529.7,"degree Celsius",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2005,"10",1212,"degree Celsius",-40.21,176.109
"Dannevirke (Manawatū-Whanganui)",2005,"5",2832.9,"degree Celsius",-40.21,176.109
"Dunedin (Otago)",2005,"10",818.6,"degree Celsius",-45.90129,170.5147
"Dunedin (Otago)",2005,"5",2321,"degree Celsius",-45.90129,170.5147
"Gisborne (Gisborne)",2005,"10",1812.8,"degree Celsius",-38.6586,177.9851
"Gisborne (Gisborne)",2005,"5",3574.5,"degree Celsius",-38.6586,177.9851
"Gore (Southland)",2005,"10",724.4,"degree Celsius",-46.115,168.887
"Gore (Southland)",2005,"5",2023.5,"degree Celsius",-46.115,168.887
"Hamilton (Waikato)",2005,"10",1611,"degree Celsius",-37.86088,175.33175
"Hamilton (Waikato)",2005,"5",3309.4,"degree Celsius",-37.86088,175.33175
"Hokitika (West Coast)",2005,"10",1021.1999999999999,"degree Celsius",-42.71228,170.98428
"Hokitika (West Coast)",2005,"5",2633.9,"degree Celsius",-42.71228,170.98428
"Invercargill (Southland)",2005,"10",737,"degree Celsius",-46.41741,168.33052
"Invercargill (Southland)",2005,"5",2116.4,"degree Celsius",-46.41741,168.33052
"Kerikeri (Northland)",2005,"10",2090.5,"degree Celsius",-35.183,173.926
"Kerikeri (Northland)",2005,"5",3906.7,"degree Celsius",-35.183,173.926
"Lake Tekapo (Canterbury)",2005,"10",716.3000000000001,"degree Celsius",-44.002,170.441
"Lake Tekapo (Canterbury)",2005,"5",1841.5,"degree Celsius",-44.002,170.441
"Masterton (Wellington)",2005,"10",1156.4,"degree Celsius",-40.957,175.707
"Masterton (Wellington)",2005,"5",2792.3,"degree Celsius",-40.957,175.707
"Milford Sound (Southland)",2005,"10",934.0999999999999,"degree Celsius",-44.67384,167.92406
"Milford Sound (Southland)",2005,"5",2362.2,"degree Celsius",-44.67384,167.92406
"Napier (Hawke's Bay)",2005,"10",1877.3,"degree Celsius",-39.49846,176.91189
"Napier (Hawke's Bay)",2005,"5",3602.4,"degree Celsius",-39.49846,176.91189
"Nelson (Nelson)",2005,"10",1491.6000000000001,"degree Celsius",-41.299,173.226
"Nelson (Nelson)",2005,"5",3171.4,"degree Celsius",-41.299,173.226
"New Plymouth (Taranaki)",2005,"10",1554.4,"degree Celsius",-39.0079,174.18382
"New Plymouth (Taranaki)",2005,"5",3320,"degree Celsius",-39.0079,174.18382
"Queenstown (Otago)",2005,"10",892.8,"degree Celsius",-45.01758,168.74005
"Queenstown (Otago)",2005,"5",2098.6,"degree Celsius",-45.01758,168.74005
"Reefton (West Coast)",2005,"10",1146.7,"degree Celsius",-42.11578,171.86014
"Reefton (West Coast)",2005,"5",2639,"degree Celsius",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2005,"10",1354.6000000000001,"degree Celsius",-38.10595,176.31485
"Rotorua (Bay of Plenty)",2005,"5",2973.2,"degree Celsius",-38.10595,176.31485
"Tara Hills (Canterbury)",2005,"10",875.4,"degree Celsius",-44.52612,169.88948
"Tara Hills (Canterbury)",2005,"5",2065.8,"degree Celsius",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2005,"10",1287.7,"degree Celsius",-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)",2005,"5",2879.8,"degree Celsius",-38.88784,175.25981
"Taupō (Waikato)",2005,"10",1137.5,"degree Celsius",-38.74263,176.08104
"Taupō (Waikato)",2005,"5",2658.4,"degree Celsius",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2005,"10",1950.4,"degree Celsius",-37.673,176.196
"Tauranga (Bay of Plenty)",2005,"5",3736,"degree Celsius",-37.673,176.196
"Timaru (Canterbury)",2005,"10",849.4,"degree Celsius",-44.30517,171.22141
"Timaru (Canterbury)",2005,"5",2166.5,"degree Celsius",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2005,"10",541.6,"degree Celsius",-39.46249,175.66283
"Waiouru (Manawatū-Whanganui)",2005,"5",1721.8999999999999,"degree Celsius",-39.46249,175.66283
"Wellington (Wellington)",2005,"10",1348.3,"degree Celsius",-41.285,174.768
"Wellington (Wellington)",2005,"5",3087.7,"degree Celsius",-41.285,174.768
"Whanganui (Manawatū-Whanganui)",2005,"10",1735.2,"degree Celsius",-39.93704,175.04509
"Whanganui (Manawatū-Whanganui)",2005,"5",3519.7,"degree Celsius",-39.93704,175.04509
"Whangaparāoa (Auckland)",2005,"10",2291.4,"degree Celsius",-36.606,174.835
"Whangaparāoa (Auckland)",2005,"5",4114.9,"degree Celsius",-36.606,174.835
"Whangārei (Northland)",2005,"10",2240.2999999999997,"degree Celsius",-35.769,174.364
"Whangārei (Northland)",2005,"5",4059.2,"degree Celsius",-35.769,174.364
"Auckland (Auckland)",2004,"10",1841.5,"degree Celsius",-37.00813,174.78873
"Auckland (Auckland)",2004,"5",3630.6,"degree Celsius",-37.00813,174.78873
"Blenheim (Marlborough)",2004,"10",1172.4,"degree Celsius",-41.52133,173.86439
"Blenheim (Marlborough)",2004,"5",2673.8,"degree Celsius",-41.52133,173.86439
"Christchurch (Canterbury)",2004,"10",953.6,"degree Celsius",-43.493,172.537
"Christchurch (Canterbury)",2004,"5",2323.1,"degree Celsius",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",2004,"10",1009.6999999999999,"degree Celsius",-40.21,176.109
"Dannevirke (Manawatū-Whanganui)",2004,"5",2516.2,"degree Celsius",-40.21,176.109
"Dunedin (Otago)",2004,"10",636.5,"degree Celsius",-45.90129,170.5147
"Dunedin (Otago)",2004,"5",2026,"degree Celsius",-45.90129,170.5147
"Gisborne (Gisborne)",2004,"10",1655.1,"degree Celsius",-38.6586,177.9851
"Gisborne (Gisborne)",2004,"5",3382.9,"degree Celsius",-38.6586,177.9851
"Gore (Southland)",2004,"10",486.79999999999995,"degree Celsius",-46.115,168.887
"Gore (Southland)",2004,"5",1630.3,"degree Celsius",-46.115,168.887
"Hamilton (Waikato)",2004,"10",1303.6,"degree Celsius",-37.86088,175.33175
"Hamilton (Waikato)",2004,"5",2941.9,"degree Celsius",-37.86088,175.33175
"Hokitika (West Coast)",2004,"10",736,"degree Celsius",-42.71228,170.98428
"Hokitika (West Coast)",2004,"5",2239.9,"degree Celsius",-42.71228,170.98428
"Invercargill (Southland)",2004,"10",472.8,"degree Celsius",-46.41741,168.33052
"Invercargill (Southland)",2004,"5",1690.8,"degree Celsius",-46.41741,168.33052
"Kerikeri (Northland)",2004,"10",1816.1,"degree Celsius",-35.183,173.926
"Kerikeri (Northland)",2004,"5",3620.9,"degree Celsius",-35.183,173.926
"Lake Tekapo (Canterbury)",2004,"10",465.3,"degree Celsius",-44.002,170.441
"Lake Tekapo (Canterbury)",2004,"5",1442.8,"degree Celsius",-44.002,170.441
"Masterton (Wellington)",2004,"10",985.5,"degree Celsius",-40.957,175.707
"Masterton (Wellington)",2004,"5",2544.4,"degree Celsius",-40.957,175.707
"Milford Sound (Southland)",2004,"10",579.8000000000001,"degree Celsius",-44.67384,167.92406
"Milford Sound (Southland)",2004,"5",1874.4,"degree Celsius",-44.67384,167.92406
"Napier (Hawke's Bay)",2004,"10",1785.3,"degree Celsius",-39.49846,176.91189
"Napier (Hawke's Bay)",2004,"5",3468.3999999999996,"degree Celsius",-39.49846,176.91189
"Nelson (Nelson)",2004,"10",1256.6,"degree Celsius",-41.299,173.226
"Nelson (Nelson)",2004,"5",2819.5,"degree Celsius",-41.299,173.226
"New Plymouth (Taranaki)",2004,"10",1244,"degree Celsius",-39.0079,174.18382
"New Plymouth (Taranaki)",2004,"5",2954,"degree Celsius",-39.0079,174.18382
"Queenstown (Otago)",2004,"10",553.4,"degree Celsius",-45.01758,168.74005
"Queenstown (Otago)",2004,"5",1648.4,"degree Celsius",-45.01758,168.74005
"Reefton (West Coast)",2004,"10",792.6,"degree Celsius",-42.11578,171.86014
"Reefton (West Coast)",2004,"5",2118.4,"degree Celsius",-42.11578,171.86014
"Rotorua (Bay of Plenty)",2004,"10",1059.5,"degree Celsius",-38.10595,176.31485
"Rotorua (Bay of Plenty)",2004,"5",2595.9,"degree Celsius",-38.10595,176.31485
"Tara Hills (Canterbury)",2004,"10",606.3,"degree Celsius",-44.52612,169.88948
"Tara Hills (Canterbury)",2004,"5",1668.5,"degree Celsius",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",2004,"10",985.7,"degree Celsius",-38.88784,175.25981
"Taumarunui (Manawatū-Whanganui)",2004,"5",2447.7,"degree Celsius",-38.88784,175.25981
"Taupō (Waikato)",2004,"10",929.4999999999999,"degree Celsius",-38.74263,176.08104
"Taupō (Waikato)",2004,"5",2345.3,"degree Celsius",-38.74263,176.08104
"Tauranga (Bay of Plenty)",2004,"10",1711.6,"degree Celsius",-37.673,176.196
"Tauranga (Bay of Plenty)",2004,"5",3452.2,"degree Celsius",-37.673,176.196
"Timaru (Canterbury)",2004,"10",675.3,"degree Celsius",-44.30517,171.22141
"Timaru (Canterbury)",2004,"5",1896.4,"degree Celsius",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",2004,"10",386.5,"degree Celsius",-39.46249,175.66283
