Date,Orchard Name,Rpin,Block,Average Leaves per shoot,Black spot - leaves,Black spot - fruit bottoms (750),Black spot - fruit tops (250),Overall,Risk level ,Comments
2/27/2023,Lowry,2918,9A,11.2,2.00%,12.70%,4.00%,10.50%,High,multiple sightings of BS in all rows
2/27/2023,Lowry,2918,9B,11.6,,1.50%,0.40%,1.20%,High,sightings of BS on other trees
