PIN,Orchard,OrchardGroup,Date,PlantingCode,ProductionSite,ManagementArea,BusinessUnit,LandAreaHa,VarietyCode,Variety,Chemical,ActiveIngredient,ChemicalRate,ChemicalUnit,WaterRate,Reason,MonitorRef,TargetPrimary,TargetSecondary,Applicators,Sprayers,SprayCondition,SprayMethod,SurplusDisposal,ChemicalUsed,ChemicalCost,ChemicalPrice,StockUnit,ChemicalTags,#,Approved
R2900,Sim 1,Crownthorpe Sector,20/10/2022,SIM1 B3,B,B3,Rakete Orchards Limited Partnership,2.44734,996,Rockit,Ethin,chlorethephon,35,ml/100 litres,350,Consultants advice,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.296647,11.524736,38.85,L,Plant Growth Regulator,906,TRUE
R2900,Sim 1,Crownthorpe Sector,20/10/2022,SIM1 C1,C,C1,Rakete Orchards Limited Partnership,1.36122,996,Rockit,Ethin,chlorethephon,35,ml/100 litres,350,Consultants advice,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.164996,6.410095,38.85,L,Plant Growth Regulator,906,TRUE
R2900,Sim 1,Crownthorpe Sector,20/10/2022,SIM1 D1,D,D1,Rakete Orchards Limited Partnership,1.54812,996,Rockit,Ethin,chlorethephon,35,ml/100 litres,350,Consultants advice,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.187651,7.290241,38.85,L,Plant Growth Regulator,906,TRUE
R1149,Steel,Crownthorpe Sector,18/10/2022,STEEL C,C,C,Rakete Orchards Limited Partnership,3.28692,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,800,Consultants advice,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,1.594043,61.928571,38.85,L,Plant Growth Regulator,903,TRUE
R1149,Steel,Crownthorpe Sector,18/10/2022,STEEL D,D,D,Rakete Orchards Limited Partnership,1.74384,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,800,Consultants advice,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.845702,32.855523,38.85,L,Plant Growth Regulator,903,TRUE
R2925,IND - Manzana 2,Independent Sector,1/10/2022,MANZ2 A,A,A,Manzana Orchard Limited Partnership,3.57504,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Consultants advice,,Thinning,,Lance Rewi,"CRN-SPR-015 Trifan Tower Sprayer, CRN-TRC-015 Cab Tractor",,Towerliner,,0.713136,27.705334,38.85,L,Plant Growth Regulator,904,TRUE
R2925,IND - Manzana 2,Independent Sector,1/10/2022,MANZ2 B,B,B,Manzana Orchard Limited Partnership,3.95598,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Consultants advice,,Thinning,,Lance Rewi,"CRN-SPR-015 Trifan Tower Sprayer, CRN-TRC-015 Cab Tractor",,Towerliner,,0.789125,30.657506,38.85,L,Plant Growth Regulator,904,TRUE
R2925,IND - Manzana 2,Independent Sector,1/10/2022,MANZ2 C,C,C,Manzana Orchard Limited Partnership,1.86858,996,Rockit,Ethin,chlorethephon,60,ml/100 litres,250,Consultants advice,,Thinning,,Lance Rewi,"CRN-SPR-015 Trifan Tower Sprayer, CRN-TRC-015 Cab Tractor",,Towerliner,,0.372738,14.480871,38.85,L,Plant Growth Regulator,904,TRUE
R2900,Sim 1,Crownthorpe Sector,20/10/2022,SIM1 A1,A,A1,Rakete Orchards Limited Partnership,1.52082,996,Rockit,Ethin,chlorethephon,35,ml/100 litres,350,Consultants advice,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.184342,7.161687,38.85,L,Plant Growth Regulator,906,TRUE
R2900,Sim 1,Crownthorpe Sector,20/10/2022,SIM1 A2,A,A2,Rakete Orchards Limited Partnership,1.61028,996,Rockit,Ethin,chlorethephon,35,ml/100 litres,350,Consultants advice,,Thinning,,Andre Kingi,"CRN-TRC-016 Cab Tractor, CRN-TRC-016 Quantum Tower Sprayer",,Quantum Tower,,0.195185,7.582937,38.85,L,Plant Growth Regulator,906,TRUE
